city,year,avg_temperature,avg_daily_rainfall,maximum_temperature,minimum_temperature
Hyderabad,2018,26.276712328767122,1.940821917808219,40.0,11.8
Hyderabad,2019,26.616301369863017,2.337260273972603,40.8,11.2
Hyderabad,2020,25.966803278688527,3.078688524590164,39.9,11.9
Hyderabad,2021,26.083698630136983,2.1569863013698627,38.4,12.5
Hyderabad,2022,26.23013698630137,2.524931506849315,39.8,12.2
Hyderabad,2023,26.31684931506849,2.654794520547945,38.8,11.3
Hyderabad,2024,26.791256830601093,3.549453551912568,41.6,14.8
Jaipur,2000,25.33210382513661,0.9704918032786884,43.0,4.0
Jaipur,2001,25.032328767123285,1.015068493150685,44.9,3.6
Jaipur,2002,26.286575342465753,0.5547945205479452,44.5,4.1
Jaipur,2003,24.66287671232877,1.547123287671233,44.4,3.8
Jaipur,2004,25.548907103825137,1.219672131147541,42.9,3.7
Jaipur,2005,24.99041095890411,1.2671232876712328,42.7,4.8
Jaipur,2006,25.898493150684935,0.866849315068493,43.7,3.0
Jaipur,2007,25.390136986301368,1.3808219178082193,42.6,4.3
Jaipur,2008,25.022404371584702,1.4382513661202185,41.7,3.9
Jaipur,2009,26.263972602739727,0.8753424657534247,43.7,7.3
Jaipur,2010,25.694520547945206,2.173972602739726,45.5,4.5
Jaipur,2011,24.622328767123285,1.627945205479452,44.4,2.0
Jaipur,2012,24.54139344262295,1.7002732240437157,43.9,3.4
Jaipur,2013,24.386301369863013,1.836986301369863,43.7,2.7
Jaipur,2014,24.54835616438356,1.270958904109589,44.3,2.7
Jaipur,2015,25.174931506849315,1.0882191780821917,43.0,4.3
Jaipur,2016,25.775683060109287,1.6617486338797816,46.0,4.4
Jaipur,2017,25.72890410958904,1.1619178082191781,44.6,4.2
Jaipur,2018,25.75109589041096,1.9054794520547946,43.9,4.0
Jaipur,2019,25.013013698630136,2.5005479452054797,45.0,2.2
Jaipur,2020,25.05218579234973,1.3150273224043716,43.1,4.7
Jaipur,2021,25.15794520547945,2.029041095890411,40.8,3.9
Jaipur,2022,25.34835616438356,1.6484931506849314,44.3,4.7
Jaipur,2023,24.846849315068493,1.61013698630137,43.2,3.0
Jaipur,2024,25.31434426229508,2.1606557377049183,46.4,3.9
Kolkata,2000,26.013387978142074,3.830601092896175,38.2,9.5
Kolkata,2001,25.903287671232878,4.7027397260273975,38.2,8.5
Kolkata,2002,26.22821917808219,4.6128767123287675,39.6,10.4
Kolkata,2003,26.135753424657533,4.061095890410959,41.0,8.3
Kolkata,2004,26.337978142076505,3.7967213114754097,41.6,9.9
Kolkata,2005,26.64698630136986,4.07972602739726,41.2,10.5
Kolkata,2006,26.643424657534247,3.9189041095890413,39.0,9.0
Kolkata,2007,26.204794520547946,5.108767123287671,39.8,10.0
Kolkata,2008,26.106147540983606,4.9002732240437155,38.8,9.3
Kolkata,2009,26.99904109589041,3.55972602739726,41.6,10.3
Kolkata,2010,27.234794520547947,3.1854794520547944,40.1,10.3
Kolkata,2011,26.337260273972603,4.986849315068493,37.8,9.7
Kolkata,2012,26.47035519125683,3.4459016393442625,41.4,8.5
Kolkata,2013,26.026986301369863,4.301917808219178,38.9,8.2
Kolkata,2014,26.37027397260274,3.776712328767123,40.4,9.0
Kolkata,2015,26.477671232876713,5.037534246575342,39.4,10.7
Kolkata,2016,26.790163934426232,4.406010928961749,40.3,9.6
Kolkata,2017,26.599589041095893,6.129041095890411,38.5,10.0
Kolkata,2018,26.14205479452055,4.895616438356164,38.0,8.7
Kolkata,2019,26.36013698630137,4.565753424657534,37.4,10.0
Kolkata,2020,26.223497267759562,5.171311475409836,39.5,10.1
Kolkata,2021,26.592876712328767,5.940273972602739,40.8,9.8
Kolkata,2022,26.429041095890412,4.524931506849315,40.0,10.1
Kolkata,2023,26.975068493150683,5.156986301369863,42.5,10.3
Kolkata,2024,26.69535519125683,5.692349726775957,43.9,10.2
Lucknow,2000,24.909289617486337,2.150273224043716,42.9,6.5
Lucknow,2001,24.884931506849316,2.9627397260273973,43.1,4.6
Lucknow,2002,25.508219178082193,2.0019178082191784,44.4,5.5
Lucknow,2003,24.775890410958905,3.905753424657534,44.2,4.2
Lucknow,2004,25.10915300546448,2.3275956284153003,43.2,4.5
Lucknow,2005,25.42219178082192,2.255890410958904,44.9,6.5
Lucknow,2006,26.043698630136987,1.8542465753424657,43.0,5.6
Lucknow,2007,25.510136986301372,2.6665753424657535,44.3,5.3
Lucknow,2008,25.21243169398907,3.945081967213115,43.2,5.7
Lucknow,2009,26.023287671232875,2.1624657534246574,43.7,8.1
Lucknow,2010,26.302739726027397,2.8145205479452056,43.8,7.4
Lucknow,2011,25.175068493150683,2.850684931506849,42.1,4.2
Lucknow,2012,25.280054644808743,2.5576502732240436,43.9,6.2
Lucknow,2013,24.71164383561644,3.1783561643835614,42.2,4.2
Lucknow,2014,25.011917808219177,1.996986301369863,44.2,5.2
Lucknow,2015,25.556712328767127,2.26986301369863,44.8,6.1
Lucknow,2016,25.873224043715847,2.7931693989071036,43.1,6.1
Lucknow,2017,25.654657534246578,2.5643835616438357,43.5,3.5
Lucknow,2018,25.506849315068493,3.3652054794520545,43.2,4.7
Lucknow,2019,25.27150684931507,3.5197260273972604,44.2,1.7
Lucknow,2020,24.590710382513663,3.5412568306010925,42.8,5.1
Lucknow,2021,25.084246575342465,2.725753424657534,41.2,3.5
Lucknow,2022,25.59232876712329,3.0821917808219177,44.0,4.3
Lucknow,2023,25.39506849315069,2.76027397260274,43.8,4.3
Lucknow,2024,25.66898907103825,3.112021857923497,46.3,4.7
Mumbai,2000,26.62090163934426,5.01775956284153,38.0,16.5
Mumbai,2001,26.630684931506853,4.536438356164384,38.0,15.0
Mumbai,2002,27.186575342465755,4.192054794520548,37.5,15.4
Mumbai,2003,27.101506849315065,4.8780821917808215,35.3,17.1
Mumbai,2004,27.05218579234973,5.549453551912568,38.1,17.1
Mumbai,2005,26.755068493150684,6.5306849315068485,37.6,15.1
Mumbai,2006,27.224109589041095,6.775068493150685,36.9,15.7
Mumbai,2007,27.3427397260274,6.270958904109589,38.5,17.7
Mumbai,2008,26.9172131147541,5.104918032786886,36.6,14.2
Mumbai,2009,27.390958904109592,4.452328767123287,39.1,16.7
Mumbai,2010,27.270958904109587,6.196438356164383,36.5,15.6
Mumbai,2011,26.9986301369863,5.872602739726028,37.6,15.3
Mumbai,2012,26.608196721311476,3.975136612021858,36.6,15.7
Mumbai,2013,26.64438356164384,5.922739726027398,37.2,15.7
Mumbai,2014,27.2572602739726,5.055890410958904,36.8,15.8
Mumbai,2015,27.388219178082196,3.627945205479452,37.0,15.6
Mumbai,2016,26.9655737704918,7.2084699453551915,37.0,16.0
Mumbai,2017,26.866849315068492,6.721917808219178,36.9,15.0
Mumbai,2018,27.083013698630136,3.7298630136986306,35.9,15.5
Mumbai,2019,26.725068493150683,7.135890410958904,36.3,13.1
Mumbai,2020,27.125546448087434,7.578142076502732,36.8,15.4
Mumbai,2021,27.172602739726027,6.249041095890411,38.7,16.8
Mumbai,2022,26.887945205479454,7.264657534246575,38.5,14.4
Mumbai,2023,27.514520547945203,5.611232876712329,37.8,14.7
Mumbai,2024,27.566530054644808,6.89535519125683,41.4,16.7
Pune,2000,24.836612021857924,4.259562841530054,40.0,11.2
Pune,2001,25.032739726027398,3.9805479452054797,41.1,11.4
Pune,2002,25.42178082191781,3.9183561643835616,41.3,11.1
Pune,2003,25.619999999999997,3.5986301369863014,41.6,10.5
Pune,2004,25.185382513661203,4.959016393442623,40.3,12.1
Pune,2005,25.085753424657533,6.043287671232878,40.9,12.1
Pune,2006,25.176027397260274,6.694246575342466,40.1,10.5
Pune,2007,25.608356164383558,4.894520547945206,39.8,12.8
Pune,2008,25.216666666666665,4.860655737704918,40.3,10.3
Pune,2009,25.743972602739724,5.08027397260274,40.8,13.8
Pune,2010,25.556849315068494,6.032054794520548,42.0,10.9
Pune,2011,25.16082191780822,5.364383561643836,39.4,10.3
Pune,2012,25.51243169398907,3.277049180327869,39.0,10.3
Pune,2013,25.154520547945204,5.6906849315068495,41.2,11.9
Pune,2014,25.450136986301366,4.796164383561644,39.7,11.7
Pune,2015,25.71054794520548,3.4005479452054796,39.8,11.7
Pune,2016,25.560519125683058,5.914754098360656,40.7,12.4
Pune,2017,25.48712328767123,2.5627397260273974,40.3,10.9
Pune,2018,25.59109589041096,1.8654794520547944,40.2,9.7
Pune,2019,25.55191780821918,4.055890410958904,42.9,9.4
Pune,2020,25.45437158469945,4.05792349726776,39.7,9.7
Pune,2021,25.314794520547945,2.6104109589041093,38.6,13.1
Pune,2022,25.431917808219175,2.9498630136986304,42.2,9.9
Pune,2023,25.842602739726026,2.1424657534246574,40.8,12.8
Pune,2024,26.185792349726775,3.8609289617486335,42.0,12.4
