city,year,avg_temperature,avg_max_temperature,avg_min_temperature,total_rainfall,rainy_days,avg_wind_speed
Hyderabad,2014,26.151095890410957,31.013150684931507,21.28904109589041,716.0,145,16.160273972602738
Hyderabad,2015,26.72849315068493,31.75917808219178,21.697808219178082,495.1,133,15.824931506849316
Hyderabad,2016,26.388387978142074,31.25928961748634,21.517486338797813,969.3,148,16.587158469945354
Hyderabad,2017,26.466027397260277,31.450410958904108,21.48164383561644,754.3,165,15.341095890410958
Hyderabad,2018,26.276712328767122,31.349589041095893,21.203835616438354,708.4,191,15.9786301369863
Hyderabad,2019,26.616301369863017,31.391232876712326,21.8413698630137,853.1,181,15.89835616438356
Hyderabad,2020,25.966803278688527,30.58606557377049,21.347540983606557,1126.8,173,14.729234972677595
Hyderabad,2021,26.083698630136983,30.956438356164384,21.21095890410959,787.3,162,15.273698630136986
Hyderabad,2022,26.23013698630137,31.357808219178082,21.102465753424656,921.6,167,15.846027397260274
Hyderabad,2023,26.31684931506849,31.517808219178082,21.115890410958905,969.0,158,15.986301369863014
Hyderabad,2024,26.791256830601093,31.583333333333332,21.999180327868853,1299.1,189,16.339344262295082
Jaipur,2000,25.33210382513661,31.579508196721314,19.084699453551913,355.2,90,15.536065573770491
Jaipur,2001,25.032328767123285,31.213972602739727,18.850684931506848,370.5,112,14.105205479452053
Jaipur,2002,26.286575342465753,32.58657534246576,19.986575342465756,202.5,68,15.456986301369863
Jaipur,2003,24.66287671232877,30.608767123287674,18.71698630136986,564.7,108,14.440000000000001
Jaipur,2004,25.548907103825137,31.683060109289617,19.414754098360657,446.4,87,14.569945355191258
Jaipur,2005,24.99041095890411,31.022465753424658,18.958356164383563,462.5,101,14.64767123287671
Jaipur,2006,25.898493150684935,31.850684931506848,19.94630136986301,316.4,95,14.312054794520547
Jaipur,2007,25.390136986301368,31.344657534246572,19.435616438356163,504.0,116,14.08027397260274
Jaipur,2008,25.022404371584702,30.928415300546447,19.11639344262295,526.4,118,13.718306010928961
Jaipur,2009,26.263972602739727,32.36904109589041,20.15890410958904,319.5,87,15.086301369863014
Jaipur,2010,25.694520547945206,31.50027397260274,19.88876712328767,793.5,120,13.80027397260274
Jaipur,2011,24.622328767123285,30.405479452054795,18.839178082191783,594.2,113,13.41041095890411
Jaipur,2012,24.54139344262295,30.478415300546448,18.604371584699454,622.3,94,14.171038251366122
Jaipur,2013,24.386301369863013,30.132602739726025,18.64,670.5,124,14.127671232876713
Jaipur,2014,24.54835616438356,30.294246575342466,18.802465753424656,463.9,105,13.924657534246576
Jaipur,2015,25.174931506849315,30.99013698630137,19.35972602739726,397.2,110,14.316164383561643
Jaipur,2016,25.775683060109287,31.67431693989071,19.87704918032787,608.2,108,13.718032786885246
Jaipur,2017,25.72890410958904,31.425205479452057,20.032602739726027,424.1,118,15.448219178082192
Jaipur,2018,25.75109589041096,31.565753424657533,19.936438356164384,695.5,111,15.827945205479452
Jaipur,2019,25.013013698630136,30.413150684931505,19.612876712328767,912.7,137,15.105753424657536
Jaipur,2020,25.05218579234973,30.62950819672131,19.474863387978143,481.3,122,15.464754098360658
Jaipur,2021,25.15794520547945,30.65753424657534,19.658356164383562,740.6,115,15.475068493150683
Jaipur,2022,25.34835616438356,31.11917808219178,19.577534246575343,601.6999999999999,104,15.52849315068493
Jaipur,2023,24.846849315068493,30.545205479452054,19.14849315068493,587.7,127,15.422739726027398
Jaipur,2024,25.31434426229508,30.85409836065574,19.774590163934427,790.8000000000001,115,14.702732240437157
Kolkata,2000,26.013387978142074,30.240437158469945,21.786338797814206,1402.0,193,12.948087431693988
Kolkata,2001,25.903287671232878,30.104657534246577,21.70191780821918,1716.5,205,12.696438356164384
Kolkata,2002,26.22821917808219,30.519178082191782,21.937260273972605,1683.7,186,12.906301369863014
Kolkata,2003,26.135753424657533,30.331232876712328,21.94027397260274,1482.3,196,13.015616438356163
Kolkata,2004,26.337978142076505,30.68688524590164,21.989071038251367,1389.6,178,13.028961748633881
Kolkata,2005,26.64698630136986,30.9158904109589,22.378082191780823,1489.1,180,13.37041095890411
Kolkata,2006,26.643424657534247,30.96712328767123,22.31972602739726,1430.4,183,12.651232876712328
Kolkata,2007,26.204794520547946,30.388219178082196,22.0213698630137,1864.7,202,12.98027397260274
Kolkata,2008,26.106147540983606,30.235245901639345,21.97704918032787,1793.5,177,12.60136612021858
Kolkata,2009,26.99904109589041,31.486027397260273,22.512054794520548,1299.3,165,13.148493150684931
Kolkata,2010,27.234794520547947,31.45068493150685,23.01890410958904,1162.7,180,13.994246575342466
Kolkata,2011,26.337260273972603,30.572876712328767,22.10164383561644,1820.2,193,12.65150684931507
Kolkata,2012,26.47035519125683,30.754371584699456,22.18633879781421,1261.2,195,13.261202185792351
Kolkata,2013,26.026986301369863,30.323561643835617,21.73041095890411,1570.2,191,13.186849315068493
Kolkata,2014,26.37027397260274,30.766027397260274,21.974520547945204,1378.5,176,12.521917808219179
Kolkata,2015,26.477671232876713,30.453424657534246,22.50191780821918,1838.7,205,12.660821917808219
Kolkata,2016,26.790163934426232,30.751912568306015,22.82841530054645,1612.6,209,12.707103825136613
